nivel,turno,hora_inicio,hora_fin,minutos,es_receso
MEDIA GENERAL,M,07:00,08:20,80,false
MEDIA GENERAL,M,08:20,08:35,15,true
MEDIA GENERAL,M,08:35,09:55,80,false
MEDIA GENERAL,M,09:55,10:10,15,true
MEDIA GENERAL,M,10:10,11:30,80,false
MEDIA GENERAL,M,11:30,11:45,15,true
MEDIA GENERAL,M,11:45,13:05,80,false
MEDIA GENERAL,T,13:05,13:35,30,true
MEDIA GENERAL,T,13:35,14:55,80,false
PRIMARIA,M,07:20,08:40,80,false
PRIMARIA,M,07:20,08:00,40,false
PRIMARIA,M,08:40,09:10,30,true
PRIMARIA,M,09:10,09:50,40,false
PRIMARIA,M,09:10,10:30,80,false
PRIMARIA,M,10:30,10:45,15,true
PRIMARIA,M,10:45,11:55,70,false
PRIMARIA,M,11:55,12:30,35,false
