nivel,grado,seccion,dia,hora_inicio,hora_fin,materia,grupo_paralelo
MEDIA GENERAL,1ER AÑO,1ER AÑO A,1,07:00,08:20,"GEOGRAFIA, HISTORIA Y SOBERANIA NACIONAL",
MEDIA GENERAL,1ER AÑO,1ER AÑO A,2,07:00,08:20,FÍSICA,
MEDIA GENERAL,1ER AÑO,1ER AÑO A,3,07:00,08:20,LENGUA Y LITERATURA,
MEDIA GENERAL,1ER AÑO,1ER AÑO A,4,07:00,08:20,INGLÉS,1
MEDIA GENERAL,1ER AÑO,1ER AÑO A,4,07:00,08:20,FINANZAS,2
MEDIA GENERAL,1ER AÑO,1ER AÑO A,5,07:00,08:20,MATEMÁTICA,
MEDIA GENERAL,1ER AÑO,1ER AÑO A,1,08:35,09:55,INGLÉS,1
MEDIA GENERAL,1ER AÑO,1ER AÑO A,1,08:35,09:55,ROBOTICA,2
MEDIA GENERAL,1ER AÑO,1ER AÑO A,2,08:35,09:55,EDUCACIÓN FÍSICA,
MEDIA GENERAL,1ER AÑO,1ER AÑO A,3,08:35,09:55,MATEMÁTICA,
MEDIA GENERAL,1ER AÑO,1ER AÑO A,4,08:35,09:55,INGLÉS,2
MEDIA GENERAL,1ER AÑO,1ER AÑO A,4,08:35,09:55,FINANZAS,1
MEDIA GENERAL,1ER AÑO,1ER AÑO A,5,08:35,09:55,INGLÉS,2
MEDIA GENERAL,1ER AÑO,1ER AÑO A,5,08:35,09:55,ROBOTICA,1
MEDIA GENERAL,1ER AÑO,1ER AÑO A,1,10:10,11:30,FORMACIÓN HUMANO CRISTIANA,
MEDIA GENERAL,1ER AÑO,1ER AÑO A,2,10:10,11:30,"BIOLOGIA, AMBIENTE Y TECNOLOGIA",
MEDIA GENERAL,1ER AÑO,1ER AÑO A,3,10:10,11:30,INGLÉS,1
MEDIA GENERAL,1ER AÑO,1ER AÑO A,3,10:10,11:30,INNOVACIÓN TECNOLOGICA,2
MEDIA GENERAL,1ER AÑO,1ER AÑO A,4,10:10,11:30,INNOVACIÓN TECNOLOGICA Y PRODUCTIVA,
MEDIA GENERAL,1ER AÑO,1ER AÑO A,5,10:10,11:30,ORIENTACIÓN VOCACIONAL,
MEDIA GENERAL,1ER AÑO,1ER AÑO A,1,11:45,13:05,LENGUA Y LITERATURA,
MEDIA GENERAL,1ER AÑO,1ER AÑO A,2,11:45,13:05,ORIENTACIÓN VOCACIONAL,
MEDIA GENERAL,1ER AÑO,1ER AÑO A,3,11:45,13:05,INGLÉS,2
MEDIA GENERAL,1ER AÑO,1ER AÑO A,3,11:45,13:05,INNOVACIONES TECNOLOGICAS,1
MEDIA GENERAL,1ER AÑO,1ER AÑO A,4,11:45,13:05,"BIOLOGIA, AMBIENTE Y TECNOLOGIA",
MEDIA GENERAL,1ER AÑO,1ER AÑO A,5,11:45,13:05,QUIMICA,
MEDIA GENERAL,1ER AÑO,1ER AÑO A,2,13:35,14:55,EDUCACIÓN FÍSICA,HEMBRAS
MEDIA GENERAL,1ER AÑO,1ER AÑO A,4,13:35,14:55,"GEOGRAFIA, HISTORIA Y SOBERANIA NACIONAL",
MEDIA GENERAL,1ER AÑO,1ER AÑO A,5,13:35,14:55,EDUCACIÓN FÍSICA,VARONES
MEDIA GENERAL,1ER AÑO,1ER AÑO B,1,07:00,08:20,INGLÉS,1
MEDIA GENERAL,1ER AÑO,1ER AÑO B,1,07:00,08:20,ROBOTICA,2
MEDIA GENERAL,1ER AÑO,1ER AÑO B,2,07:00,08:20,EDUCACIÓN FÍSICA,
MEDIA GENERAL,1ER AÑO,1ER AÑO B,3,07:00,08:20,FORMACIÓN HUMANO CRISTIANA,
MEDIA GENERAL,1ER AÑO,1ER AÑO B,4,07:00,08:20,MATEMÁTICA,
MEDIA GENERAL,1ER AÑO,1ER AÑO B,5,07:00,08:20,INGLÉS,2
MEDIA GENERAL,1ER AÑO,1ER AÑO B,5,07:00,08:20,ROBOTICA,1
MEDIA GENERAL,1ER AÑO,1ER AÑO B,1,08:35,09:55,"BIOLOGIA, AMBIENTE Y TECNOLOGIA",
MEDIA GENERAL,1ER AÑO,1ER AÑO B,2,08:35,09:55,LENGUA Y LITERATURA,
MEDIA GENERAL,1ER AÑO,1ER AÑO B,3,08:35,09:55,INNOVACIÓN TECNOLOGICA Y PRODUCTIVA,
MEDIA GENERAL,1ER AÑO,1ER AÑO B,4,08:35,09:55,ORIENTACIÓN VOCACIONAL,
MEDIA GENERAL,1ER AÑO,1ER AÑO B,5,08:35,09:55,"GEOGRAFIA, HISTORIA Y SOBERANIA NACIONAL",
MEDIA GENERAL,1ER AÑO,1ER AÑO B,1,10:10,11:30,"GEOGRAFIA, HISTORIA Y SOBERANIA NACIONAL",
MEDIA GENERAL,1ER AÑO,1ER AÑO B,2,10:10,11:30,INGLÉS,1
MEDIA GENERAL,1ER AÑO,1ER AÑO B,2,10:10,11:30,FINANZAS,2
MEDIA GENERAL,1ER AÑO,1ER AÑO B,3,10:10,11:30,FÍSICA,
MEDIA GENERAL,1ER AÑO,1ER AÑO B,4,10:10,11:30,"BIOLOGIA, AMBIENTE Y TECNOLOGIA",
MEDIA GENERAL,1ER AÑO,1ER AÑO B,5,10:10,11:30,QUIMICA,
MEDIA GENERAL,1ER AÑO,1ER AÑO B,1,11:45,13:05,ORIENTACIÓN VOCACIONAL,
MEDIA GENERAL,1ER AÑO,1ER AÑO B,2,11:45,13:05,INGLÉS,2
MEDIA GENERAL,1ER AÑO,1ER AÑO B,2,11:45,13:05,FINANZAS,1
MEDIA GENERAL,1ER AÑO,1ER AÑO B,3,11:45,13:05,LENGUA Y LITERATURA,
MEDIA GENERAL,1ER AÑO,1ER AÑO B,4,11:45,13:05,INGLÉS,1
MEDIA GENERAL,1ER AÑO,1ER AÑO B,4,11:45,13:05,INNOVACIÓN TECNOLOGICA,2
MEDIA GENERAL,1ER AÑO,1ER AÑO B,5,11:45,13:05,MATEMÁTICA,
MEDIA GENERAL,1ER AÑO,1ER AÑO B,2,13:35,14:55,EDUCACIÓN FÍSICA,HEMBRAS
MEDIA GENERAL,1ER AÑO,1ER AÑO B,4,13:35,14:55,INGLÉS,2
MEDIA GENERAL,1ER AÑO,1ER AÑO B,4,13:35,14:55,INNOVACIONES TECNOLOGICAS,1
MEDIA GENERAL,1ER AÑO,1ER AÑO B,5,13:35,14:55,EDUCACIÓN FÍSICA,VARONES
MEDIA GENERAL,2DO AÑO,2DO AÑO A,1,07:00,08:20,LENGUA Y LITERATURA,
MEDIA GENERAL,2DO AÑO,2DO AÑO A,2,07:00,08:20,"BIOLOGIA, AMBIENTE Y TECNOLOGIA",
MEDIA GENERAL,2DO AÑO,2DO AÑO A,3,07:00,08:20,INGLÉS,1
